id,name,adm0_code,Electricity consumption in kWh,Carbon dioxide emission in Mt,Electricity from fossil fuels,Electricity from nuclear fuels,Electricity from hydroelectric plants,Electricity from other renewable sources
1,Austria,AUT,7292,7,25,0,43,31
2,Belgium,BEL,7010,11,35,28,1,36
3,Bulgaria,BGR,4642,7,39,20,23,19
4,Croatia,HRV,3768,4,45,0,40,16
5,Cyprus,CYP,3438,6,85,0,0,15
6,Czechia,CZE,5825,11,60,19,5,16
7,Denmark,DNK,5626,6,46,0,0,54
8,Estonia,EST,7158,4,72,0,0,28
9,Finland,FIN,14859,8,41,17,20,23
10,France,FRA,6644,5,17,50,15,19
11,Germany,DEU,6693,11,41,5,2,52
12,Greece,GRC,5363,7,57,0,14,29
13,Hungary,HUN,4029,5,64,22,1,13
14,Ireland,IRL,4961,7,65,0,2,33
15,Italy,ITA,4703,6,54,0,14,32
16,Latvia,LVA,3614,5,39,0,53,8
17,Lithuania,LTU,3844,5,73,0,4,23
18,Luxembourg,LUX,10304,17,25,0,8,67
19,Malta,MLT,4641,18,81,0,0,19
20,Netherlands,NLD,6296,14,75,1,0,23
21,Poland,POL,3903,9,79,0,2,19
22,Portugal,PRT,4556,5,41,0,25,35
23,Romania,ROU,2330,3,47,6,29,19
24,Slovakia,SVK,4897,6,36,27,24,13
25,Slovenia,SVN,6373,7,37,20,34,9
26,Spain,ESP,4788,6,47,7,14,32
27,Sweden,SWE,13085,5,5,22,42,32
